,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,availability_30,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable,neighbourhood_16th Street Heights,neighbourhood_Adams Morgan,neighbourhood_American University Park,neighbourhood_Anacostia,neighbourhood_Barney Circle,neighbourhood_Barry Farm,neighbourhood_Bellevue,neighbourhood_Benning,neighbourhood_Benning Heights,neighbourhood_Benning Ridge,neighbourhood_Berkley,neighbourhood_Bloomingdale,neighbourhood_Brentwood,neighbourhood_Brightwood,neighbourhood_Brookland,neighbourhood_Buena Vista,neighbourhood_Burleith,neighbourhood_Capitol Hill,neighbourhood_Carver Langston,neighbourhood_Cathedral Heights,neighbourhood_Central Northeast/Mahaning Heights,neighbourhood_Chevy Chase,"neighbourhood_Chevy Chase, MD",neighbourhood_Civic Betterment,neighbourhood_Cleveland Park,neighbourhood_Colonial Village,neighbourhood_Columbia Heights,neighbourhood_Congress Heights,neighbourhood_Crestwood,neighbourhood_Deanwood,neighbourhood_Douglass,neighbourhood_Downtown/Penn Quarter,neighbourhood_Dupont Circle,neighbourhood_Dupont Park,neighbourhood_East Corner,neighbourhood_Eastland Gardens,neighbourhood_Eckington,neighbourhood_Edgewood,neighbourhood_Fairlawn,neighbourhood_Foggy Bottom,neighbourhood_Forest Hills,neighbourhood_Fort Davis,neighbourhood_Fort Dupont,neighbourhood_Fort Lincoln,neighbourhood_Fort Totten,neighbourhood_Foxhall,neighbourhood_Friendship Heights,neighbourhood_Gallaudet,neighbourhood_Garfield Heights,neighbourhood_Gateway,neighbourhood_Georgetown,neighbourhood_Glover Park,neighbourhood_Good Hope,neighbourhood_Greenway,"neighbourhood_Hilcrest Heights/Marlow Heights, MD",neighbourhood_Hillbrook,neighbourhood_Hillcrest,neighbourhood_Ivy City,neighbourhood_Judiciary Square,neighbourhood_Kalorama,neighbourhood_Kent,neighbourhood_Kingman Park,neighbourhood_Knox Hill,neighbourhood_Lamond Riggs,neighbourhood_Langdon,neighbourhood_LeDroit Park,neighbourhood_Lincoln Heights,neighbourhood_Logan Circle,neighbourhood_Manor Park,neighbourhood_Marshall Heights,neighbourhood_Massachusetts Heights,neighbourhood_Michigan Park,neighbourhood_Mount Pleasant,neighbourhood_Mount Vernon Square,"neighbourhood_Mt Rainier/Brentwood, MD",neighbourhood_Navy Yard,neighbourhood_Naylor Gardens,neighbourhood_Near Northeast/H Street Corridor,neighbourhood_North Cleveland Park,neighbourhood_North Michigan Park,neighbourhood_Palisades,neighbourhood_Park View,neighbourhood_Petworth,neighbourhood_Pleasant Hill,neighbourhood_Pleasant Plains,neighbourhood_Randle Highlands,neighbourhood_River Terrace,neighbourhood_Shaw,neighbourhood_Shepherd Park,neighbourhood_Shipley Terrace,"neighbourhood_Silver Spring, MD",neighbourhood_Skyland,neighbourhood_Southwest Waterfront,neighbourhood_St. Elizabeths,neighbourhood_Stronghold,neighbourhood_Takoma,"neighbourhood_Takoma Park, MD",neighbourhood_Trinidad,neighbourhood_Truxton Circle,neighbourhood_Twining,neighbourhood_U Street Corridor,neighbourhood_Washington Highlands,neighbourhood_Wesley Heights,neighbourhood_West End,neighbourhood_Woodland,neighbourhood_Woodland-Normanstone Terrace,neighbourhood_Woodley Park,neighbourhood_Woodridge,property_type_Apartment,property_type_House,property_type_Other,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60
274,38.89921,-77.00038,0.32663425997828094,-4.605170185988091,-4.605170185988091,-4.605170185988091,1.5744972839952205,-4.605170185988091,1.4289675858306226,-0.36651292058166435,0.0940478276166991,1.5040351003996315,26,1.5793972284736488,1.5159789342503565,2.302585092994046,2.302585092994046,2.302585092994046,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
275,38.91727,-77.0113,0.32663425997828094,-4.605170185988091,-0.36651292058166435,-0.36651292058166435,1.5271796258079011,5.1647859739235145,1.4096066464289525,-0.36651292058166435,-0.36651292058166435,1.949551840702297,24,1.4214526816086592,1.5227830126997552,2.302585092994046,2.302585092994046,2.302585092994046,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
276,38.91233,-77.04941,-0.36651292058166435,-4.605170185988091,-4.605170185988091,-4.605170185988091,1.5089076184613552,-4.605170185988091,1.582587535887981,-4.605170185988091,-0.36651292058166435,1.949551840702297,5,1.6280143374292215,1.5227830126997552,2.1972245773362196,2.302585092994046,2.302585092994046,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
277,38.89568,-76.99347,0.7320993680864453,-0.08742157179075505,0.0940478276166991,0.32663425997828094,1.7550652600445356,4.605170185988092,1.611562712266506,-4.605170185988091,0.0940478276166991,1.7749349530624492,19,1.6047738008405017,1.5227830126997552,2.302585092994046,2.302585092994046,2.302585092994046,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
278,38.90099,-77.01943,-0.36651292058166435,-4.605170185988091,-4.605170185988091,-4.605170185988091,1.611562712266506,-4.605170185988091,,-4.605170185988091,-4.605170185988091,1.949551840702297,0,0.32663425997828094,1.4912513280732116,2.1972245773362196,2.1972245773362196,2.302585092994046,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
279,38.92519,-77.02925,-0.36651292058166435,-4.605170185988091,-4.605170185988091,-0.36651292058166435,1.3367528183009176,-4.605170185988091,1.4626737779454593,-4.605170185988091,0.0940478276166991,1.6473032557366176,0,1.1811431408094568,1.4964725796851872,2.1972245773362196,2.1972245773362196,2.1972245773362196,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
280,38.91362,-77.02271999999999,-0.36651292058166435,-4.605170185988091,-4.605170185988091,-4.605170185988091,1.5040351003996315,-4.605170185988091,1.3640546328884455,-4.605170185988091,0.0940478276166991,1.949551840702297,23,1.639635655072424,1.5136524718106426,2.1972245773362196,2.302585092994046,2.1972245773362196,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
281,38.96963,-77.02521,0.0940478276166991,-4.605170185988091,-4.605170185988091,-4.605170185988091,1.4465648595477707,-4.605170185988091,1.3640546328884455,-4.605170185988091,-0.36651292058166435,1.949551840702297,0,1.524994838195378,1.524994838195378,2.302585092994046,2.302585092994046,2.302585092994046,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
283,38.9063,-77.06884000000001,0.47588499532711054,-0.36651292058166435,-0.36651292058166435,-0.36651292058166435,1.7257569610137753,5.0106352940962555,1.3640546328884455,0.32663425997828094,-4.605170185988091,1.1811431408094568,0,1.590311111517258,1.5182757199460604,2.1972245773362196,2.302585092994046,2.302585092994046,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
284,38.88053,-76.9954,0.7320993680864453,0.0940478276166991,0.0940478276166991,0.0940478276166991,1.7882342236619078,-4.605170185988091,1.641863663944111,0.7320993680864453,-0.36651292058166435,1.949551840702297,21,1.4214526816086592,1.5159789342503565,2.302585092994046,2.302585092994046,2.302585092994046,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
